season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
1992,6,QPR,0.0,0.0,Arsenal,0.0,0.0,0,Ron Groves,draw,draw,39dcc03b-5491-5da0-9b81-41a22e1f5dd3,2188fd09-147d-56e3-9446-a89f8702ff8f,780d394e-f390-5a72-a021-9181b7d830bb,QPR,Arsenal,Arsenal_QPR,Arsenal_QPR_1992
1992,29,Arsenal,0.0,0.0,QPR,0.0,0.0,0,Rodger Gifford,draw,draw,2f5c7087-d633-5f7d-bc3e-bd927d323165,2188fd09-147d-56e3-9446-a89f8702ff8f,780d394e-f390-5a72-a021-9181b7d830bb,Arsenal,QPR,Arsenal_QPR,Arsenal_QPR_1992
1993,25,Arsenal,0.0,0.0,QPR,0.0,0.0,0,Jim Borrett,draw,draw,957f2195-3bcc-503b-a067-6288664eaa24,2188fd09-147d-56e3-9446-a89f8702ff8f,1b067892-a027-51e6-a710-64b0c6f529df,Arsenal,QPR,Arsenal_QPR,Arsenal_QPR_1993
1993,28,QPR,0.0,0.0,Arsenal,1.0,1.0,0,Jim Borrett,draw,draw,13f34d93-85cb-5b5d-ae43-48f39f0f1678,2188fd09-147d-56e3-9446-a89f8702ff8f,1b067892-a027-51e6-a710-64b0c6f529df,QPR,Arsenal,Arsenal_QPR,Arsenal_QPR_1993
1994,22,Arsenal,0.0,0.0,QPR,1.0,3.0,0,Gary Willard,QPR,Arsenal,6c66606f-a862-59dd-82d2-52fe88954389,2188fd09-147d-56e3-9446-a89f8702ff8f,a02b3079-c258-55d7-9d79-64619e5d3765,Arsenal,QPR,Arsenal_QPR,Arsenal_QPR_1994
1994,37,QPR,0.0,0.0,Arsenal,3.0,1.0,0,Philip Don,QPR,Arsenal,143910e5-d479-5adb-a87e-7b52bb90a258,2188fd09-147d-56e3-9446-a89f8702ff8f,a02b3079-c258-55d7-9d79-64619e5d3765,QPR,Arsenal,Arsenal_QPR,Arsenal_QPR_1994
1995,20,Arsenal,0.0,0.0,QPR,3.0,0.0,0,Mike Reed,Arsenal,QPR,7086c972-8025-541c-85a5-3ab740cb00f0,2188fd09-147d-56e3-9446-a89f8702ff8f,90aa6978-1147-5447-a037-375615ee68d4,Arsenal,QPR,Arsenal_QPR,Arsenal_QPR_1995
1995,29,QPR,0.0,0.0,Arsenal,1.0,1.0,0,Paul Alcock,draw,draw,48ca6e84-72cc-5c19-ac14-b669cb9d04ad,2188fd09-147d-56e3-9446-a89f8702ff8f,90aa6978-1147-5447-a037-375615ee68d4,QPR,Arsenal,Arsenal_QPR,Arsenal_QPR_1995
2011,19,Arsenal,0.0,0.0,QPR,1.0,0.0,0,Martin Atkinson,Arsenal,QPR,f248ba8c-9d5c-5ae4-b7db-c28b630753ab,2188fd09-147d-56e3-9446-a89f8702ff8f,e037aba3-d4bb-5114-bdac-73892bf3757a,Arsenal,QPR,Arsenal_QPR,Arsenal_QPR_2011
2011,31,QPR,0.0,0.0,Arsenal,2.0,1.0,0,Mike Dean,QPR,Arsenal,8bb7d7d6-78c2-5b13-9ff9-ed205ca8a74d,2188fd09-147d-56e3-9446-a89f8702ff8f,e037aba3-d4bb-5114-bdac-73892bf3757a,QPR,Arsenal,Arsenal_QPR,Arsenal_QPR_2011
2012,9,Arsenal,0.0,0.0,QPR,1.0,0.0,0,Anthony Taylor,Arsenal,QPR,0b75f2a6-be3f-5951-a799-3de6909a786e,2188fd09-147d-56e3-9446-a89f8702ff8f,8e642bd8-51ec-550e-aaba-13e3dc34ac18,Arsenal,QPR,Arsenal_QPR,Arsenal_QPR_2012
2012,36,QPR,0.0,0.0,Arsenal,0.0,1.0,0,Jon Moss,Arsenal,QPR,3c77c3f0-b45b-55a2-9c13-8b6c077817b9,2188fd09-147d-56e3-9446-a89f8702ff8f,8e642bd8-51ec-550e-aaba-13e3dc34ac18,QPR,Arsenal,Arsenal_QPR,Arsenal_QPR_2012
2014,18,Arsenal,0.0,0.0,QPR,2.0,1.0,0,Martin Atkinson,Arsenal,QPR,ad7d41ee-fe75-5854-8236-d3a2f6432ec3,2188fd09-147d-56e3-9446-a89f8702ff8f,e9a4dc3e-ced9-5290-a2bd-8dd33eeed113,Arsenal,QPR,Arsenal_QPR,Arsenal_QPR_2014
2014,28,QPR,0.0,0.0,Arsenal,1.0,2.0,0,Kevin Friend,Arsenal,QPR,cddb28ac-5d84-5ad9-837a-4aa0257860de,2188fd09-147d-56e3-9446-a89f8702ff8f,e9a4dc3e-ced9-5290-a2bd-8dd33eeed113,QPR,Arsenal,Arsenal_QPR,Arsenal_QPR_2014
